Coupon,Num. Of Clicks,Min Time,Min-Clicks,Max Time,Max-Clicks,Mean,Meadian,Std. Dev
1703494,1,09,1,09,1,9.0,9.0,0.0
S185266,5,33,1,33,1,17.0,23,13.842
2839358,10,56,1,25,2,37.0,37.5,16.571
2695451,2,30,1,30,1,35.0,35.5,5.523
2746754,5,18,1,05,2,18.0,18,12.798
2479579,1,33,1,33,1,33.0,33.0,0.0
1551656,1,55,1,55,1,55.0,55.0,0.0
S140482,1,34,1,34,1,34.0,34.0,0.0
1048430,1,34,1,34,1,34.0,34.0,0.0
S141687,1,10,1,10,1,10.0,10.0,0.0
2787299,1,00,1,00,1,0.0,0.0,0.0
2641346,1,23,1,23,1,23.0,23.0,0.0
2709758,2,15,1,15,1,18.0,18.5,3.536
1611517,2,57,2,57,2,57.0,57.0,0.0
S255655,1,01,1,01,1,1.0,1.0,0.0
1847115,1,07,1,07,1,7.0,7.0,0.0
2825418,3,56,1,56,1,38.0,37,13.54
1687788,1,41,1,41,1,41.0,41.0,0.0
2780546,1,45,1,45,1,45.0,45.0,0.0
2653042,1,54,1,54,1,54.0,54.0,0.0
2790849,2,21,2,21,2,21.0,21.0,0.0
2175712,1,08,1,08,1,8.0,8.0,0.0
2112653,1,35,1,35,1,35.0,35.0,0.0
2788194,1,04,1,04,1,4.0,4.0,0.0
1971534,1,24,1,24,1,24.0,24.0,0.0
1934362,2,29,2,29,2,29.0,29.0,0.0
S168119,1,01,1,01,1,1.0,1.0,0.0
2717195,1,13,1,13,1,13.0,13.0,0.0
2498484,3,29,1,30,2,29.0,30,0.816
2684665,4,02,1,02,1,13.0,14.5,9.474
2176164,1,18,1,18,1,18.0,18.0,0.0
S168412,1,34,1,34,1,34.0,34.0,0.0
S138536,2,55,1,55,1,52.0,52.5,2.55
2851306,1,33,1,33,1,33.0,33.0,0.0
2625901,1,03,1,03,1,3.0,3.0,0.0
2849669,1,09,1,09,1,9.0,9.0,0.0
2837530,1,43,1,43,1,43.0,43.0,0.0
2817696,1,17,1,17,1,17.0,17.0,0.0
2808399,2,27,1,27,1,43.0,43.0,16.0
2399951,1,20,1,20,1,20.0,20.0,0.0
2419761,11,26,1,18,2,29.0,28,14.023
2835405,1,17,1,17,1,17.0,17.0,0.0
2438584,2,59,1,59,1,58.0,58.5,0.707
2654404,1,05,1,05,1,5.0,5.0,0.0
S241349,1,40,1,40,1,40.0,40.0,0.0
2535505,3,10,1,10,1,16.0,10,10.408
2838372,2,44,1,44,1,43.0,43.0,1.0
2849126,4,00,1,50,2,36.0,47.5,21.03
2829322,3,24,1,24,1,13.0,13,8.583
1928330,3,46,1,46,1,40.0,38,4.041
2772340,2,10,1,10,1,15.0,15.5,5.523
2517469,1,25,1,25,1,25.0,25.0,0.0
2837248,1,24,1,24,1,24.0,24.0,0.0
2043626,2,40,2,40,2,40.0,40.0,0.0
2552758,3,11,1,11,1,13.0,12,2.16
2053440,1,52,1,52,1,52.0,52.0,0.0
1397383,2,01,1,01,1,21.0,21.0,20.0
2588692,2,23,2,23,2,23.0,23.0,0.0
2828950,1,45,1,45,1,45.0,45.0,0.0
2796080,1,00,1,00,1,0.0,0.0,0.0
2709734,1,29,1,29,1,29.0,29.0,0.0
S141402,1,52,1,52,1,52.0,52.0,0.0
2826087,1,49,1,49,1,49.0,49.0,0.0
2800596,5,24,1,38,2,34.0,38,9.476
2851678,5,41,1,41,1,32.0,30,5.404
S221620,1,17,1,17,1,17.0,17.0,0.0
2846716,4,03,1,03,1,20.0,16.0,17.564
S136879,2,19,1,19,1,18.0,18.5,0.707
1831168,6,02,1,14,2,27.0,23.0,18.695
S136784,3,10,1,10,1,26.0,20,16.083
2725542,1,56,1,56,1,56.0,56.0,0.0
2774465,1,05,1,05,1,5.0,5.0,0.0
2830245,4,18,1,18,1,26.0,26.5,5.679
2828157,3,57,1,57,1,28.0,26,22.906
2825255,3,33,1,33,1,31.0,31,1.633
2599760,1,25,1,25,1,25.0,25.0,0.0
2839689,30,24,1,25,2,29.0,30.0,17.603
2798235,1,45,1,45,1,45.0,45.0,0.0
2710858,1,01,1,01,1,1.0,1.0,0.0
2823536,1,18,1,18,1,18.0,18.0,0.0
2801196,1,38,1,38,1,38.0,38.0,0.0
2506295,1,47,1,47,1,47.0,47.0,0.0
2712919,1,57,1,57,1,57.0,57.0,0.0
2836639,7,11,1,11,1,28.0,27,14.58
S140786,1,46,1,46,1,46.0,46.0,0.0
2596614,1,08,1,08,1,8.0,8.0,0.0
2808647,1,28,1,28,1,28.0,28.0,0.0
1062656,1,08,1,08,1,8.0,8.0,0.0
1639118,3,04,1,00,2,1.0,00,1.915
S205273,1,39,1,39,1,39.0,39.0,0.0
2687455,1,54,1,54,1,54.0,54.0,0.0
S179150,1,13,1,13,1,13.0,13.0,0.0
1663449,1,45,1,45,1,45.0,45.0,0.0
2454593,1,29,1,29,1,29.0,29.0,0.0
1917135,2,14,2,14,2,14.0,14.0,0.0
1881209,2,33,1,33,1,16.0,16.5,16.508
2850471,2,28,1,28,1,34.0,34.5,6.519
2846503,1,51,1,51,1,51.0,51.0,0.0
2752286,2,25,1,25,1,20.0,20.5,4.528
S151259,1,06,1,06,1,6.0,6.0,0.0
2837159,1,04,1,04,1,4.0,4.0,0.0
2086243,9,24,1,35,2,33.0,35,14.907
S160299,1,15,1,15,1,15.0,15.0,0.0
2819163,1,57,1,57,1,57.0,57.0,0.0
1724305,4,19,1,19,1,27.0,28.5,11.456
2638863,3,39,1,39,1,45.0,44,5.802
2783635,5,24,1,24,1,19.0,24,10.991
2835503,1,02,1,02,1,2.0,2.0,0.0
2706689,2,36,1,36,1,35.0,35.0,1.0
2553051,1,29,1,29,1,29.0,29.0,0.0
2678519,1,01,1,01,1,1.0,1.0,0.0
2823173,1,34,1,34,1,34.0,34.0,0.0
2687735,1,29,1,29,1,29.0,29.0,0.0
2770651,2,38,1,38,1,39.0,39.5,1.581
2620008,2,19,1,19,1,22.0,22.0,3.0
2750201,2,32,1,32,1,34.0,34.0,2.0
527312,1,01,1,01,1,1.0,1.0,0.0
2612993,1,59,1,59,1,59.0,59.0,0.0
2835796,7,27,1,25,2,21.0,25,10.941
2848353,1,24,1,24,1,24.0,24.0,0.0
1863983,1,52,1,52,1,52.0,52.0,0.0
2772889,1,12,1,12,1,12.0,12.0,0.0
2734306,1,23,1,23,1,23.0,23.0,0.0
2604534,5,13,1,12,2,19.0,12,16.935
2743581,1,11,1,11,1,11.0,11.0,0.0
S187689,1,45,1,45,1,45.0,45.0,0.0
2841682,6,32,1,51,5,47.0,51.0,7.13
2798884,1,46,1,46,1,46.0,46.0,0.0
2732685,4,47,1,47,1,46.0,49.5,7.194
2696675,1,54,1,54,1,54.0,54.0,0.0
1779785,1,21,1,21,1,21.0,21.0,0.0
2849203,6,19,1,13,2,17.0,16.0,7.036
2851412,1,31,1,31,1,31.0,31.0,0.0
2796298,1,00,1,00,1,0.0,0.0,0.0
448084,1,08,1,08,1,8.0,8.0,0.0
2799469,2,26,1,26,1,19.0,19.0,7.0
S234507,1,16,1,16,1,16.0,16.0,0.0
2475496,1,46,1,46,1,46.0,46.0,0.0
2700125,3,00,1,00,1,16.0,13,14.888
2777239,1,12,1,12,1,12.0,12.0,0.0
819891,1,38,1,38,1,38.0,38.0,0.0
1811899,1,31,1,31,1,31.0,31.0,0.0
2839441,1,04,1,04,1,4.0,4.0,0.0
2637138,3,54,1,54,1,52.0,53,1.414
2811642,3,42,1,42,1,42.0,42,6.137
2827887,1,12,1,12,1,12.0,12.0,0.0
2849332,2,51,1,51,1,50.0,50.5,0.707
2842832,1,50,1,50,1,50.0,50.0,0.0
2836680,6,24,1,24,1,30.0,24.5,19.647
1635849,1,16,1,16,1,16.0,16.0,0.0
2850517,2,57,1,57,1,55.0,55.0,2.0
2797691,2,25,2,25,2,25.0,25.0,0.0
2767419,2,12,1,12,1,9.0,9.5,2.55
2736788,2,02,1,02,1,28.0,28.0,26.0
2743966,2,18,1,18,1,28.0,28.5,10.512
2796198,1,43,1,43,1,43.0,43.0,0.0
2527394,1,01,1,01,1,1.0,1.0,0.0
S162052,1,39,1,39,1,39.0,39.0,0.0
2137865,2,39,1,39,1,38.0,38.5,0.707
2750193,3,15,1,24,2,21.0,24,4.243
2810364,1,36,1,36,1,36.0,36.0,0.0
2680914,3,57,1,57,1,57.0,57,0.816
2782997,1,20,1,20,1,20.0,20.0,0.0
2839424,1,34,1,34,1,34.0,34.0,0.0
2099342,1,13,1,13,1,13.0,13.0,0.0
2794327,1,03,1,03,1,3.0,3.0,0.0
2612309,2,39,1,39,1,33.0,33.0,6.0
2740637,1,42,1,42,1,42.0,42.0,0.0
2514068,1,47,1,47,1,47.0,47.0,0.0
2093898,1,30,1,30,1,30.0,30.0,0.0
1827909,1,18,1,18,1,18.0,18.0,0.0
2747698,2,32,2,32,2,32.0,32.0,0.0
S136500,1,21,1,21,1,21.0,21.0,0.0
1831121,2,06,1,06,1,6.0,6.5,0.707
1937781,3,24,1,24,1,24.0,24,2.887
2530847,1,08,1,08,1,8.0,8.0,0.0
873364,1,56,1,56,1,56.0,56.0,0.0
S153072,3,12,1,13,2,12.0,13,0.816
1956241,2,53,1,53,1,52.0,52.5,0.707
2825830,1,40,1,40,1,40.0,40.0,0.0
2762490,1,14,1,14,1,14.0,14.0,0.0
S136914,5,13,1,35,2,29.0,35,18.995
2553389,1,07,1,07,1,7.0,7.0,0.0
2343406,3,15,1,32,2,26.0,32,8.021
S147745,2,13,1,13,1,17.0,17.0,4.0
2281720,1,55,1,55,1,55.0,55.0,0.0
S148101,4,11,1,11,1,21.0,14.0,19.326
1456607,2,32,1,32,1,30.0,30.5,1.581
2849577,2,08,1,08,1,17.0,17.5,9.513
2635038,4,02,1,02,1,24.0,28.5,13.426
2332433,1,22,1,22,1,22.0,22.0,0.0
S140462,1,20,1,20,1,20.0,20.0,0.0
2842378,1,28,1,28,1,28.0,28.0,0.0
2790740,1,21,1,21,1,21.0,21.0,0.0
2664313,1,16,1,16,1,16.0,16.0,0.0
2475935,1,08,1,08,1,8.0,8.0,0.0
2258544,2,33,1,33,1,43.0,43.5,10.512
2774571,2,29,1,29,1,23.0,23.0,6.0
2847936,3,47,1,47,1,18.0,07,20.421
2060625,1,00,1,00,1,0.0,0.0,0.0
2648641,2,24,1,24,1,30.0,30.5,6.519
2580050,1,31,1,31,1,31.0,31.0,0.0
2022959,1,18,1,18,1,18.0,18.0,0.0
2771605,1,52,1,52,1,52.0,52.0,0.0
2455497,1,59,1,59,1,59.0,59.0,0.0
2239539,1,03,1,03,1,3.0,3.0,0.0
1786070,3,19,1,19,1,15.0,18,4.967
2819951,1,25,1,25,1,25.0,25.0,0.0
2838102,4,59,1,59,1,29.0,25.0,20.378
S141545,1,59,1,59,1,59.0,59.0,0.0
2769816,2,30,1,30,1,29.0,29.0,1.0
S137857,1,10,1,10,1,10.0,10.0,0.0
2101003,3,32,1,32,1,32.0,32,2.449
2823513,1,42,1,42,1,42.0,42.0,0.0
2612563,1,05,1,05,1,5.0,5.0,0.0
1671562,2,20,2,20,2,20.0,20.0,0.0
2843183,1,26,1,26,1,26.0,26.0,0.0
S204106,2,07,2,07,2,7.0,7.0,0.0
S186092,1,22,1,22,1,22.0,22.0,0.0
1111382,1,09,1,09,1,9.0,9.0,0.0
1843781,1,55,1,55,1,55.0,55.0,0.0
1728976,1,20,1,20,1,20.0,20.0,0.0
2779850,1,14,1,14,1,14.0,14.0,0.0
2306389,1,07,1,07,1,7.0,7.0,0.0
1587340,1,37,1,37,1,37.0,37.0,0.0
2039141,2,44,1,44,1,42.0,42.0,2.0
1582581,1,31,1,31,1,31.0,31.0,0.0
945106,1,56,1,56,1,56.0,56.0,0.0
1841595,1,23,1,23,1,23.0,23.0,0.0
1641951,1,19,1,19,1,19.0,19.0,0.0
2817740,1,00,1,00,1,0.0,0.0,0.0
1790887,1,59,1,59,1,59.0,59.0,0.0
2843773,2,38,1,38,1,41.0,41.5,3.536
2732964,1,04,1,04,1,4.0,4.0,0.0
2847227,7,33,1,40,3,41.0,40,7.521
2120882,10,25,1,24,3,32.0,31.0,8.939
2820201,1,47,1,47,1,47.0,47.0,0.0
2848680,2,30,1,30,1,17.0,17.5,12.51
2383086,4,55,1,55,1,50.0,53.0,6.021
1177377,2,27,1,27,1,27.0,27.5,0.707
2710956,2,40,1,40,1,40.0,40.5,0.707
2772955,1,46,1,46,1,46.0,46.0,0.0
2839330,1,27,1,27,1,27.0,27.0,0.0
2810269,1,37,1,37,1,37.0,37.0,0.0
2473543,1,04,1,04,1,4.0,4.0,0.0
2799358,3,42,1,10,2,20.0,10,15.1
2674407,2,03,1,03,1,23.0,23.5,20.506
1394410,1,58,1,58,1,58.0,58.0,0.0
1916099,1,07,1,07,1,7.0,7.0,0.0
2837078,5,27,1,27,1,26.0,27,10.686
2200182,3,19,1,19,1,34.0,25,17.146
1844323,1,02,1,02,1,2.0,2.0,0.0
2841351,1,54,1,54,1,54.0,54.0,0.0
1485549,1,56,1,56,1,56.0,56.0,0.0
2501130,1,10,1,10,1,10.0,10.0,0.0
2842012,1,23,1,23,1,23.0,23.0,0.0
2782626,2,08,1,08,1,32.0,32.5,24.505
2744000,1,41,1,41,1,41.0,41.0,0.0
S169336,2,18,2,18,2,18.0,18.0,0.0
608977,1,55,1,55,1,55.0,55.0,0.0
581197,1,06,1,06,1,6.0,6.0,0.0
2590759,1,00,1,00,1,0.0,0.0,0.0
2832949,2,02,1,02,1,5.0,5.5,3.536
2762802,5,24,1,24,1,21.0,24,15.981
2851914,2,03,1,03,1,24.0,24.0,21.0
1878068,1,16,1,16,1,16.0,16.0,0.0
2837226,1,54,1,54,1,54.0,54.0,0.0
2603333,1,54,1,54,1,54.0,54.0,0.0
2837856,3,32,1,20,2,24.0,20,5.657
2838961,1,03,1,03,1,3.0,3.0,0.0
793717,1,44,1,44,1,44.0,44.0,0.0
2851304,1,52,1,52,1,52.0,52.0,0.0
2816758,1,58,1,58,1,58.0,58.0,0.0
2811678,1,34,1,34,1,34.0,34.0,0.0
2825386,1,07,1,07,1,7.0,7.0,0.0
2839122,2,46,1,46,1,45.0,45.5,0.707
2777298,3,28,1,55,2,46.0,55,12.728
1918558,3,00,1,00,1,10.0,08,9.092
2092715,2,24,1,24,1,24.0,24.5,0.707
2847676,82,35,1,30,5,32.0,33.0,15.558
S163790,1,04,1,04,1,4.0,4.0,0.0
2341629,1,40,1,40,1,40.0,40.0,0.0
1187626,1,26,1,26,1,26.0,26.0,0.0
1850696,4,54,1,54,1,48.0,53.5,10.173
2821818,1,50,1,50,1,50.0,50.0,0.0
S137063,2,17,2,17,2,17.0,17.0,0.0
2629444,2,59,1,59,1,58.0,58.5,0.707
S173776,1,22,1,22,1,22.0,22.0,0.0
S214088,1,03,1,03,1,3.0,3.0,0.0
S181710,1,49,1,49,1,49.0,49.0,0.0
2685415,3,45,1,20,2,28.0,20,11.79
2747705,1,37,1,37,1,37.0,37.0,0.0
2549150,39,53,1,22,4,26.0,25,15.769
2114040,2,17,1,17,1,16.0,16.5,0.707
742018,1,17,1,17,1,17.0,17.0,0.0
2685009,3,12,1,12,1,14.0,14,1.633
2687916,1,30,1,30,1,30.0,30.0,0.0
2787492,1,07,1,07,1,7.0,7.0,0.0
2825124,2,32,1,32,1,16.0,16.5,15.508
2761703,1,06,1,06,1,6.0,6.0,0.0
2127989,1,45,1,45,1,45.0,45.0,0.0
2849589,1,40,1,40,1,40.0,40.0,0.0
2798237,1,56,1,56,1,56.0,56.0,0.0
2848594,1,57,1,57,1,57.0,57.0,0.0
1523067,1,26,1,26,1,26.0,26.0,0.0
1128459,1,43,1,43,1,43.0,43.0,0.0
S186340,1,20,1,20,1,20.0,20.0,0.0
S263808,5,51,1,58,4,56.0,58,2.864
2775105,1,45,1,45,1,45.0,45.0,0.0
2602075,1,33,1,33,1,33.0,33.0,0.0
2849509,2,09,1,09,1,21.0,21.5,12.51
2845366,1,12,1,12,1,12.0,12.0,0.0
2758043,3,44,1,44,1,38.0,44,12.055
2596612,1,58,1,58,1,58.0,58.0,0.0
2849523,6,26,1,41,2,43.0,43.0,9.583
2841445,1,31,1,31,1,31.0,31.0,0.0
2737075,2,28,1,28,1,40.0,40.0,12.0
2766644,1,13,1,13,1,13.0,13.0,0.0
2742254,1,07,1,07,1,7.0,7.0,0.0
2688170,1,10,1,10,1,10.0,10.0,0.0
2664452,1,46,1,46,1,46.0,46.0,0.0
2518767,1,32,1,32,1,32.0,32.0,0.0
2835019,2,39,2,39,2,39.0,39.0,0.0
2848649,27,02,1,48,3,31.0,30,17.485
2836087,2,47,1,47,1,46.0,46.0,1.0
2776923,5,11,1,11,1,41.0,51,17.544
S158566,8,24,1,27,2,33.0,33.5,14.322
1474506,1,31,1,31,1,31.0,31.0,0.0
2060256,1,09,1,09,1,9.0,9.0,0.0
2826175,2,46,1,46,1,50.0,50.0,4.0
1384136,3,33,1,33,1,27.0,32,7.789
2479608,1,53,1,53,1,53.0,53.0,0.0
2634573,1,03,1,03,1,3.0,3.0,0.0
2848754,4,33,1,33,1,40.0,39.0,6.124
2833701,1,37,1,37,1,37.0,37.0,0.0
2666108,5,44,1,55,2,34.0,44,21.615
2842594,1,07,1,07,1,7.0,7.0,0.0
1688885,1,48,1,48,1,48.0,48.0,0.0
2802728,1,33,1,33,1,33.0,33.0,0.0
610891,1,13,1,13,1,13.0,13.0,0.0
1119640,1,36,1,36,1,36.0,36.0,0.0
2772450,5,18,1,18,1,26.0,23,9.612
2700404,2,00,1,00,1,18.0,18.5,18.507
2841680,1,52,1,52,1,52.0,52.0,0.0
2809841,1,11,1,11,1,11.0,11.0,0.0
2546536,1,18,1,18,1,18.0,18.0,0.0
2595059,1,20,1,20,1,20.0,20.0,0.0
2732463,1,21,1,21,1,21.0,21.0,0.0
S145290,1,25,1,25,1,25.0,25.0,0.0
S147531,1,37,1,37,1,37.0,37.0,0.0
2850673,3,46,1,13,2,24.0,13,15.556
2819056,2,30,1,30,1,41.0,41.5,11.511
S142388,2,54,1,54,1,28.0,28.5,25.505
2800681,1,09,1,09,1,9.0,9.0,0.0
2835022,9,21,1,48,2,36.0,46,15.556
2817087,1,45,1,45,1,45.0,45.0,0.0
2845515,1,51,1,51,1,51.0,51.0,0.0
S173975,1,29,1,29,1,29.0,29.0,0.0
1568139,1,32,1,32,1,32.0,32.0,0.0
2246846,1,28,1,28,1,28.0,28.0,0.0
2837957,1,05,1,05,1,5.0,5.0,0.0
2762177,3,07,3,07,3,7.0,07,0.0
2727068,1,45,1,45,1,45.0,45.0,0.0
2751969,1,06,1,06,1,6.0,6.0,0.0
2826458,1,23,1,23,1,23.0,23.0,0.0
2837895,8,00,1,50,2,39.0,45.0,16.897
2603310,4,25,1,25,1,31.0,26.5,15.628
2837420,4,46,1,46,1,44.0,44.5,2.121
2847539,2,01,1,01,1,20.0,20.5,19.506
2505890,1,16,1,16,1,16.0,16.0,0.0
S140912,1,01,1,01,1,1.0,1.0,0.0
2798089,1,32,1,32,1,32.0,32.0,0.0
1728246,1,31,1,31,1,31.0,31.0,0.0
2850659,2,55,1,55,1,54.0,54.0,1.0
2828338,1,17,1,17,1,17.0,17.0,0.0
2601103,1,56,1,56,1,56.0,56.0,0.0
2164334,2,06,1,06,1,6.0,6.5,0.707
S140555,1,50,1,50,1,50.0,50.0,0.0
2476406,1,17,1,17,1,17.0,17.0,0.0
2472112,2,30,1,30,1,39.0,39.0,9.0
2277871,1,54,1,54,1,54.0,54.0,0.0
1870576,1,07,1,07,1,7.0,7.0,0.0
2847630,1,48,1,48,1,48.0,48.0,0.0
S139907,1,00,1,00,1,0.0,0.0,0.0
2764910,1,33,1,33,1,33.0,33.0,0.0
2849808,12,11,1,27,3,35.0,32.5,13.711
1575647,1,04,1,04,1,4.0,4.0,0.0
2679573,1,06,1,06,1,6.0,6.0,0.0
2836909,1,15,1,15,1,15.0,15.0,0.0
2717426,1,27,1,27,1,27.0,27.0,0.0
2660022,2,31,1,31,1,25.0,25.5,5.523
2478074,1,52,1,52,1,52.0,52.0,0.0
2808170,3,07,1,40,2,29.0,40,15.556
2839779,1,37,1,37,1,37.0,37.0,0.0
2851997,1,47,1,47,1,47.0,47.0,0.0
2648991,1,49,1,49,1,49.0,49.0,0.0
2774005,1,52,1,52,1,52.0,52.0,0.0
2544587,1,06,1,06,1,6.0,6.0,0.0
2848853,1,05,1,05,1,5.0,5.0,0.0
S187650,2,53,1,53,1,51.0,51.0,2.0
2368946,1,23,1,23,1,23.0,23.0,0.0
2168619,1,30,1,30,1,30.0,30.0,0.0
1290730,5,28,1,37,2,30.0,29,5.779
2846722,1,01,1,01,1,1.0,1.0,0.0
2248428,1,37,1,37,1,37.0,37.0,0.0
2614934,21,25,1,38,4,26.0,31,16.366
1846739,1,41,1,41,1,41.0,41.0,0.0
1179568,1,10,1,10,1,10.0,10.0,0.0
2834445,1,57,1,57,1,57.0,57.0,0.0
2139156,1,35,1,35,1,35.0,35.0,0.0
2457109,1,26,1,26,1,26.0,26.0,0.0
2788681,1,21,1,21,1,21.0,21.0,0.0
2602161,2,15,2,15,2,15.0,15.0,0.0
2847615,3,00,1,00,1,22.0,14,22.428
1880041,1,13,1,13,1,13.0,13.0,0.0
841644,1,35,1,35,1,35.0,35.0,0.0
2850296,1,39,1,39,1,39.0,39.0,0.0
2848839,1,03,1,03,1,3.0,3.0,0.0
2563747,2,48,1,48,1,48.0,48.5,0.707
2850469,2,32,1,32,1,31.0,31.0,1.0
2844830,1,23,1,23,1,23.0,23.0,0.0
2850434,1,58,1,58,1,58.0,58.0,0.0
2727356,1,13,1,13,1,13.0,13.0,0.0
S224187,1,41,1,41,1,41.0,41.0,0.0
2730884,1,04,1,04,1,4.0,4.0,0.0
2580056,2,15,2,15,2,15.0,15.0,0.0
2760317,1,38,1,38,1,38.0,38.0,0.0
2741579,1,01,1,01,1,1.0,1.0,0.0
2817742,4,44,1,26,2,36.0,35.0,10.404
2806089,1,56,1,56,1,56.0,56.0,0.0
1208924,4,59,1,33,2,39.0,33.5,11.147
2790435,5,42,1,42,1,24.0,37,17.989
S164811,1,08,1,08,1,8.0,8.0,0.0
2799979,1,02,1,02,1,2.0,2.0,0.0
1002994,1,37,1,37,1,37.0,37.0,0.0
2584687,2,54,1,54,1,55.0,55.5,1.581
2070969,1,01,1,01,1,1.0,1.0,0.0
2820207,2,46,1,46,1,49.0,49.0,3.0
2808653,7,00,1,57,2,33.0,31,18.15
2679034,2,10,1,10,1,9.0,9.5,0.707
2835005,1,21,1,21,1,21.0,21.0,0.0
2475340,1,06,1,06,1,6.0,6.0,0.0
2752587,4,19,1,19,1,17.0,18.0,2.693
1390466,1,30,1,30,1,30.0,30.0,0.0
2834414,4,11,1,11,1,12.0,12.5,1.225
2474174,2,43,1,43,1,32.0,32.0,11.0
2805410,3,27,1,27,1,35.0,27,16.693
S142965,2,06,1,06,1,27.0,27.0,21.0
1502033,1,05,1,05,1,5.0,5.0,0.0
2136197,1,37,1,37,1,37.0,37.0,0.0
2726356,1,08,1,08,1,8.0,8.0,0.0
2839332,23,13,1,20,2,33.0,36,16.141
2788346,5,26,1,26,1,23.0,22,11.576
2328805,1,14,1,14,1,14.0,14.0,0.0
S137873,1,16,1,16,1,16.0,16.0,0.0
2837878,2,42,1,42,1,42.0,42.5,0.707
2817099,1,12,1,12,1,12.0,12.0,0.0
1964042,1,40,1,40,1,40.0,40.0,0.0
2727143,1,36,1,36,1,36.0,36.0,0.0
2844511,5,40,1,10,2,13.0,10,13.483
2711572,1,22,1,22,1,22.0,22.0,0.0
2837889,8,51,1,42,2,33.0,35.5,10.822
2845951,4,26,1,36,2,33.0,36.0,4.555
S175563,1,06,1,06,1,6.0,6.0,0.0
2715020,1,16,1,16,1,16.0,16.0,0.0
1801395,1,16,1,16,1,16.0,16.0,0.0
S144393,1,34,1,34,1,34.0,34.0,0.0
2837463,6,59,1,59,1,36.0,43.0,19.515
2827514,5,46,1,00,2,18.0,01,22.136
2104715,1,38,1,38,1,38.0,38.0,0.0
2846479,4,10,1,10,1,25.0,29.5,9.367
2714387,1,04,1,04,1,4.0,4.0,0.0
2810986,1,38,1,38,1,38.0,38.0,0.0
2800184,3,24,1,24,1,31.0,24,12.832
1975820,1,32,1,32,1,32.0,32.0,0.0
2820012,13,02,1,21,3,29.0,23,16.82
2778532,1,37,1,37,1,37.0,37.0,0.0
2833700,1,46,1,46,1,46.0,46.0,0.0
2691478,1,16,1,16,1,16.0,16.0,0.0
2834619,3,25,1,25,1,12.0,07,8.756
1396296,1,27,1,27,1,27.0,27.0,0.0
2816010,1,24,1,24,1,24.0,24.0,0.0
680079,1,42,1,42,1,42.0,42.0,0.0
1256128,1,23,1,23,1,23.0,23.0,0.0
2445663,1,57,1,57,1,57.0,57.0,0.0
407713,1,01,1,01,1,1.0,1.0,0.0
1901384,1,09,1,09,1,9.0,9.0,0.0
2559479,2,49,2,49,2,49.0,49.0,0.0
2071635,1,24,1,24,1,24.0,24.0,0.0
S137459,2,40,1,40,1,37.0,37.0,3.0
2839102,1,11,1,11,1,11.0,11.0,0.0
S182952,1,07,1,07,1,7.0,7.0,0.0
2596342,2,39,1,39,1,38.0,38.0,1.0
674051,2,10,1,10,1,9.0,9.5,0.707
2798561,1,15,1,15,1,15.0,15.0,0.0
2707888,1,43,1,43,1,43.0,43.0,0.0
2628897,1,42,1,42,1,42.0,42.0,0.0
2835438,2,19,1,19,1,28.0,28.5,9.513
2765761,1,23,1,23,1,23.0,23.0,0.0
2260748,1,29,1,29,1,29.0,29.0,0.0
1473016,1,44,1,44,1,44.0,44.0,0.0
2614893,1,55,1,55,1,55.0,55.0,0.0
2789068,1,23,1,23,1,23.0,23.0,0.0
S137433,1,53,1,53,1,53.0,53.0,0.0
2847042,1,59,1,59,1,59.0,59.0,0.0
2794618,1,22,1,22,1,22.0,22.0,0.0
2851821,1,31,1,31,1,31.0,31.0,0.0
1811055,1,14,1,14,1,14.0,14.0,0.0
2088563,1,24,1,24,1,24.0,24.0,0.0
2849716,3,19,1,19,1,18.0,18,0.816
1405332,1,59,1,59,1,59.0,59.0,0.0
S137065,1,04,1,04,1,4.0,4.0,0.0
S138157,1,51,1,51,1,51.0,51.0,0.0
2053349,2,46,1,46,1,47.0,47.0,1.0
2320176,1,02,1,02,1,2.0,2.0,0.0
2709465,4,55,1,55,1,37.0,33.0,11.247
S146538,1,19,1,19,1,19.0,19.0,0.0
2829999,2,24,2,24,2,24.0,24.0,0.0
1764166,1,36,1,36,1,36.0,36.0,0.0
1701749,6,11,1,11,1,16.0,12.5,14.663
S136642,2,53,1,53,1,43.0,43.5,9.513
846158,1,14,1,14,1,14.0,14.0,0.0
2837299,1,31,1,31,1,31.0,31.0,0.0
2614675,1,20,1,20,1,20.0,20.0,0.0
2767378,1,12,1,12,1,12.0,12.0,0.0
S168902,2,26,1,26,1,30.0,30.0,4.0
2787480,4,46,1,46,1,46.0,51.0,12.46
1941751,1,26,1,26,1,26.0,26.0,0.0
661137,2,01,1,01,1,3.0,3.0,2.0
2478137,1,26,1,26,1,26.0,26.0,0.0
2687612,2,35,2,35,2,35.0,35.0,0.0
S140073,2,19,1,19,1,11.0,11.0,8.0
2763327,2,53,2,53,2,53.0,53.0,0.0
651276,1,53,1,53,1,53.0,53.0,0.0
2478769,1,08,1,08,1,8.0,8.0,0.0
2834764,1,07,1,07,1,7.0,7.0,0.0
2816790,4,10,1,10,1,33.0,40.5,13.919
1996603,1,57,1,57,1,57.0,57.0,0.0
2851792,3,16,1,24,2,21.0,24,3.786
2779524,6,03,1,57,2,38.0,41.0,19.274
2800438,2,32,1,32,1,34.0,34.5,2.55
2736972,1,55,1,55,1,55.0,55.0,0.0
